source_row_id,date,region,product_line,units_shipped,units_returned,gross_sales,discounts,list_price,gross_margin_pct,monthly_subscription_revenue,deferred_delta,shipped_orders,ingested_at
ERP-O-000035,2026-01-03,West,Electronics,259.99,5.62,2313930.19,161975.11,8900.0,0.3396,0.0,25453.23,141,2026-01-04T02:00:00+05:30
ERP-O-000036,2026-01-03,West,Home,222.95,6.42,579682.46,52171.42,2600.0,0.3531,0.0,6376.51,121,2026-01-04T02:00:00+05:30
ERP-O-000037,2026-01-04,North,Apparel,570.31,22.58,826944.94,90963.94,1450.0,0.3493,0.0,9096.39,308,2026-01-05T02:00:00+05:30
ERP-O-000038,2026-01-04,North,Electronics,348.19,7.52,3098877.17,216921.4,8900.0,0.2898,0.0,34087.65,188,2026-01-05T02:00:00+05:30
ERP-O-000039,2026-01-04,North,Home,314.75,9.06,818352.26,73651.7,2600.0,0.3417,0.0,9001.87,170,2026-01-05T02:00:00+05:30
ERP-O-000040,2026-01-04,South,Apparel,457.75,18.13,663735.46,73010.9,1450.0,0.3284,0.0,7301.09,247,2026-01-05T02:00:00+05:30
ERP-O-000041,2026-01-04,South,Electronics,282.56,6.1,2514778.1,176034.47,8900.0,0.3274,0.0,27662.56,153,2026-01-05T02:00:00+05:30
ERP-O-000042,2026-01-04,South,Home,261.34,7.53,679478.2,61153.04,2600.0,0.3264,0.0,7474.26,141,2026-01-05T02:00:00+05:30
ERP-O-000043,2026-01-04,East,Apparel,343.36,13.6,497868.02,54765.48,1450.0,0.3584,0.0,5476.55,186,2026-01-05T02:00:00+05:30
ERP-O-000044,2026-01-04,East,Electronics,197.01,4.26,1753418.69,122739.31,8900.0,0.3698,0.0,19287.61,106,2026-01-05T02:00:00+05:30
ERP-O-000045,2026-01-04,East,Home,181.83,5.24,472766.43,42548.98,2600.0,0.3457,0.0,5200.43,98,2026-01-05T02:00:00+05:30
ERP-O-000046,2026-01-04,West,Apparel,446.97,17.7,648102.81,71291.31,1450.0,0.3232,0.0,7129.13,242,2026-01-05T02:00:00+05:30
ERP-O-000047,2026-01-04,West,Electronics,277.86,6.0,2472964.68,173107.53,8900.0,0.3522,0.0,27202.61,150,2026-01-05T02:00:00+05:30
ERP-O-000048,2026-01-04,West,Home,240.33,6.92,624861.28,56237.52,2600.0,0.3269,0.0,6873.47,130,2026-01-05T02:00:00+05:30
ERP-O-000049,2026-01-05,North,Apparel,505.49,20.02,732959.88,80625.59,1450.0,0.3181,0.0,8062.56,273,2026-01-06T02:00:00+05:30
ERP-O-000050,2026-01-05,North,Electronics,268.14,5.79,2386438.63,167050.7,8900.0,0.3492,0.0,26250.82,145,2026-01-06T02:00:00+05:30
ERP-O-000051,2026-01-05,North,Home,255.75,7.37,664948.31,59845.35,2600.0,0.3705,0.0,7314.43,138,2026-01-06T02:00:00+05:30
ERP-O-000052,2026-01-05,South,Apparel,419.65,16.62,608494.02,66934.34,1450.0,0.344,0.0,6693.43,227,2026-01-06T02:00:00+05:30
ERP-O-000053,2026-01-05,South,Electronics,238.81,5.16,2125437.4,148780.62,8900.0,0.3448,0.0,23379.81,129,2026-01-06T02:00:00+05:30
ERP-O-000054,2026-01-05,South,Home,214.0,6.16,556405.97,50076.54,2600.0,0.33,0.0,6120.47,116,2026-01-06T02:00:00+05:30
ERP-O-000055,2026-01-05,East,Apparel,270.14,10.7,391703.97,43087.44,1450.0,0.3472,0.0,4308.74,146,2026-01-06T02:00:00+05:30
ERP-O-000056,2026-01-05,East,Electronics,146.84,3.17,1306874.78,91481.23,8900.0,0.322,0.0,14375.62,79,2026-01-06T02:00:00+05:30
ERP-O-000057,2026-01-05,East,Home,155.44,4.48,404133.55,36372.02,2600.0,0.2843,0.0,4445.47,84,2026-01-06T02:00:00+05:30
ERP-O-000058,2026-01-05,West,Apparel,361.2,14.3,523741.03,57611.51,1450.0,0.3378,0.0,5761.15,195,2026-01-06T02:00:00+05:30
ERP-O-000059,2026-01-05,West,Electronics,224.75,4.85,2000267.88,140018.75,8900.0,0.3224,0.0,22002.95,121,2026-01-06T02:00:00+05:30
ERP-O-000060,2026-01-05,West,Home,203.68,5.87,529566.33,47660.97,2600.0,0.3648,0.0,5825.23,110,2026-01-06T02:00:00+05:30
ERP-O-000061,2026-01-06,North,Apparel,526.52,20.85,763451.95,83979.71,1450.0,0.3221,0.0,8397.97,285,2026-01-07T02:00:00+05:30
ERP-O-000062,2026-01-06,North,Electronics,280.76,6.06,2498722.34,174910.56,8900.0,0.3108,0.0,27485.95,152,2026-01-07T02:00:00+05:30
ERP-O-000063,2026-01-06,North,Home,235.79,6.79,613047.04,55174.23,2600.0,0.3472,0.0,6743.52,127,2026-01-07T02:00:00+05:30
ERP-O-000064,2026-01-06,South,Apparel,416.22,16.48,603523.13,66387.54,1450.0,0.3691,0.0,6638.75,225,2026-01-07T02:00:00+05:30
ERP-O-000065,2026-01-06,South,Electronics,250.95,5.42,2233464.49,156342.51,8900.0,0.3454,0.0,24568.11,136,2026-01-07T02:00:00+05:30
ERP-O-000066,2026-01-06,South,Home,232.14,6.69,603555.81,54320.02,2600.0,0.3538,0.0,6639.11,125,2026-01-07T02:00:00+05:30
ERP-O-000067,2026-01-06,East,Apparel,272.08,10.77,394520.79,43397.29,1450.0,0.3518,0.0,4339.73,147,2026-01-07T02:00:00+05:30
ERP-O-000068,2026-01-06,East,Electronics,161.86,3.5,1440519.81,100836.39,8900.0,0.3133,0.0,15845.72,87,2026-01-07T02:00:00+05:30
ERP-O-000069,2026-01-06,East,Home,148.0,4.26,384810.19,34632.92,2600.0,0.3348,0.0,4232.91,80,2026-01-07T02:00:00+05:30
ERP-O-000070,2026-01-06,West,Apparel,377.67,14.96,547620.47,60238.25,1450.0,0.3579,0.0,6023.83,204,2026-01-07T02:00:00+05:30
ERP-O-000071,2026-01-06,West,Electronics,231.31,5.0,2058700.74,144109.05,8900.0,0.3067,0.0,22645.71,125,2026-01-07T02:00:00+05:30
ERP-O-000072,2026-01-06,West,Home,201.31,5.8,523397.63,47105.79,2600.0,0.3313,0.0,5757.37,109,2026-01-07T02:00:00+05:30
ERP-O-000073,2026-01-07,North,Apparel,523.51,20.73,759093.94,83500.33,1450.0,0.337,0.0,8350.03,283,2026-01-08T02:00:00+05:30
ERP-O-000074,2026-01-07,North,Electronics,304.69,6.58,2711784.38,189824.91,8900.0,0.3478,0.0,29829.63,165,2026-01-08T02:00:00+05:30
ERP-O-000075,2026-01-07,North,Home,260.08,7.49,676208.71,60858.78,2600.0,0.3231,0.0,7438.3,141,2026-01-08T02:00:00+05:30
ERP-O-000076,2026-01-07,South,Apparel,399.0,15.8,578555.26,63641.08,1450.0,0.3159,0.0,6364.11,216,2026-01-08T02:00:00+05:30
ERP-O-000077,2026-01-07,South,Electronics,232.39,5.02,2068244.75,144777.13,8900.0,0.3455,0.0,22750.69,126,2026-01-08T02:00:00+05:30
ERP-O-000078,2026-01-07,South,Home,226.68,6.53,589375.85,53043.83,2600.0,0.339,0.0,6483.13,123,2026-01-08T02:00:00+05:30
ERP-O-000079,2026-01-07,East,Apparel,286.6,11.35,415575.37,45713.29,1450.0,0.3405,0.0,4571.33,155,2026-01-08T02:00:00+05:30
ERP-O-000080,2026-01-07,East,Electronics,160.71,3.47,1430308.43,100121.59,8900.0,0.3495,0.0,15733.39,87,2026-01-08T02:00:00+05:30
ERP-O-000081,2026-01-07,East,Home,153.65,4.43,399486.09,35953.75,2600.0,0.3399,0.0,4394.35,83,2026-01-08T02:00:00+05:30
ERP-O-000082,2026-01-07,West,Apparel,371.22,14.7,538273.28,59210.06,1450.0,0.3094,0.0,5921.01,201,2026-01-08T02:00:00+05:30
ERP-O-000083,2026-01-07,West,Electronics,234.8,5.07,2089699.5,146278.97,8900.0,0.3461,0.0,22986.69,127,2026-01-08T02:00:00+05:30
ERP-O-000084,2026-01-07,West,Home,200.79,5.78,522055.88,46985.03,2600.0,0.3377,0.0,5742.61,109,2026-01-08T02:00:00+05:30
ERP-O-000085,2026-01-08,North,Apparel,477.68,18.92,692641.6,76190.58,1450.0,0.3345,0.0,7619.06,258,2026-01-09T02:00:00+05:30
ERP-O-000086,2026-01-08,North,Electronics,276.74,5.98,2462990.36,172409.33,8900.0,0.341,0.0,27092.89,150,2026-01-09T02:00:00+05:30
ERP-O-000087,2026-01-08,North,Home,246.99,7.11,642170.87,57795.38,2600.0,0.312,0.0,7063.88,134,2026-01-09T02:00:00+05:30
ERP-O-000088,2026-01-08,South,Apparel,443.15,17.55,642569.93,70682.69,1450.0,0.3657,0.0,7068.27,240,2026-01-09T02:00:00+05:30
ERP-O-000089,2026-01-08,South,Electronics,239.88,5.18,2134951.54,149446.61,8900.0,0.3501,0.0,23484.47,130,2026-01-09T02:00:00+05:30
ERP-O-000090,2026-01-08,South,Home,223.3,6.43,580584.32,52252.59,2600.0,0.3541,0.0,6386.43,121,2026-01-09T02:00:00+05:30
ERP-O-000091,2026-01-08,East,Apparel,282.55,11.19,409695.63,45066.52,1450.0,0.39,0.0,4506.65,153,2026-01-09T02:00:00+05:30
ERP-O-000092,2026-01-08,East,Electronics,178.21,3.85,1586074.68,111025.23,8900.0,0.353,0.0,17446.82,96,2026-01-09T02:00:00+05:30
ERP-O-000093,2026-01-08,East,Home,153.17,4.41,398245.42,35842.09,2600.0,0.3338,0.0,4380.7,83,2026-01-09T02:00:00+05:30
ERP-O-000094,2026-01-08,West,Apparel,389.28,15.42,564458.3,62090.41,1450.0,0.3585,0.0,6209.04,210,2026-01-09T02:00:00+05:30
ERP-O-000095,2026-01-08,West,Electronics,218.2,4.71,1941964.69,135937.53,8900.0,0.3603,0.0,21361.61,118,2026-01-09T02:00:00+05:30
ERP-O-000096,2026-01-08,West,Home,201.36,5.8,523528.52,47117.57,2600.0,0.3598,0.0,5758.81,109,2026-01-09T02:00:00+05:30
ERP-O-000097,2026-01-09,North,Apparel,514.06,20.36,745383.37,81992.17,1450.0,0.3434,0.0,8199.22,278,2026-01-10T02:00:00+05:30
ERP-O-000098,2026-01-09,North,Electronics,298.2,6.44,2653944.08,185776.09,8900.0,0.3458,0.0,29193.38,161,2026-01-10T02:00:00+05:30
ERP-O-000099,2026-01-09,North,Home,266.56,7.68,693061.62,62375.55,2600.0,0.3468,0.0,7623.68,144,2026-01-10T02:00:00+05:30
ERP-O-000100,2026-01-09,South,Apparel,398.71,15.79,578134.43,63594.79,1450.0,0.3178,0.0,6359.48,216,2026-01-10T02:00:00+05:30
ERP-O-000101,2026-01-09,South,Electronics,227.3,4.91,2023013.89,141610.97,8900.0,0.338,0.0,22253.15,123,2026-01-10T02:00:00+05:30
ERP-O-000102,2026-01-09,South,Home,226.47,6.52,588814.15,52993.27,2600.0,0.2958,0.0,6476.96,122,2026-01-10T02:00:00+05:30
ERP-O-000103,2026-01-09,East,Apparel,281.5,11.15,408177.7,44899.55,1450.0,0.3184,0.0,4489.95,152,2026-01-10T02:00:00+05:30
ERP-O-000104,2026-01-09,East,Electronics,159.96,3.46,1423600.47,99652.03,8900.0,0.3846,0.0,15659.61,86,2026-01-10T02:00:00+05:30
ERP-O-000105,2026-01-09,East,Home,151.58,4.37,394110.0,35469.9,2600.0,0.3267,0.0,4335.21,82,2026-01-10T02:00:00+05:30
ERP-O-000106,2026-01-09,West,Apparel,360.65,14.28,522947.92,57524.27,1450.0,0.3341,0.0,5752.43,195,2026-01-10T02:00:00+05:30
ERP-O-000107,2026-01-09,West,Electronics,223.59,4.83,1989983.25,139298.83,8900.0,0.3681,0.0,21889.82,121,2026-01-10T02:00:00+05:30
ERP-O-000108,2026-01-09,West,Home,191.9,5.53,498946.09,44905.15,2600.0,0.3243,0.0,5488.41,104,2026-01-10T02:00:00+05:30
ERP-O-000109,2026-01-10,North,Apparel,555.35,21.99,805258.31,88578.41,1450.0,0.319,0.0,8857.84,300,2026-01-11T02:00:00+05:30
ERP-O-000110,2026-01-10,North,Electronics,348.43,7.53,3101043.23,217073.03,8900.0,0.3395,0.0,34111.48,188,2026-01-11T02:00:00+05:30
ERP-O-000111,2026-01-10,North,Home,310.1,8.93,806260.28,72563.43,2600.0,0.3376,0.0,8868.86,168,2026-01-11T02:00:00+05:30
ERP-O-000112,2026-01-10,South,Apparel,477.48,18.91,692350.54,76158.56,1450.0,0.3457,0.0,7615.86,258,2026-01-11T02:00:00+05:30
ERP-O-000113,2026-01-10,South,Electronics,286.21,6.18,2547281.89,178309.73,8900.0,0.3613,0.0,28020.1,155,2026-01-11T02:00:00+05:30
ERP-O-000114,2026-01-10,South,Home,267.73,7.71,696110.92,62649.98,2600.0,0.3398,0.0,7657.22,145,2026-01-11T02:00:00+05:30
ERP-O-000115,2026-01-10,East,Apparel,348.83,13.81,505809.46,55639.04,1450.0,0.3519,0.0,5563.9,189,2026-01-11T02:00:00+05:30
ERP-O-000116,2026-01-10,East,Electronics,195.68,4.23,1741521.79,121906.53,8900.0,0.3935,0.0,19156.74,106,2026-01-11T02:00:00+05:30
ERP-O-000117,2026-01-10,East,Home,193.67,5.58,503539.0,45318.51,2600.0,0.3689,0.0,5538.93,105,2026-01-11T02:00:00+05:30
ERP-O-000118,2026-01-10,West,Apparel,427.49,16.93,619863.69,68185.01,1450.0,0.3608,0.0,6818.5,231,2026-01-11T02:00:00+05:30
ERP-O-000119,2026-01-10,West,Electronics,267.14,5.77,2377524.7,166426.73,8900.0,0.305,0.0,26152.77,144,2026-01-11T02:00:00+05:30
ERP-O-000120,2026-01-10,West,Home,229.48,6.61,596643.25,53697.89,2600.0,0.3284,0.0,6563.08,124,2026-01-11T02:00:00+05:30
ERP-O-000121,2026-01-11,North,Apparel,597.55,23.66,866443.11,95308.74,1450.0,0.3436,0.0,9530.87,323,2026-01-12T02:00:00+05:30
ERP-O-000122,2026-01-11,North,Electronics,341.36,7.37,3038062.74,212664.39,8900.0,0.3464,0.0,33418.69,185,2026-01-12T02:00:00+05:30
ERP-O-000123,2026-01-11,North,Home,310.16,8.93,806422.89,72578.06,2600.0,0.343,0.0,8870.65,168,2026-01-12T02:00:00+05:30
ERP-O-000124,2026-01-11,South,Apparel,508.26,20.13,736970.92,81066.8,1450.0,0.3601,0.0,8106.68,275,2026-01-12T02:00:00+05:30
ERP-O-000125,2026-01-11,South,Electronics,295.4,6.38,2629070.51,184034.94,8900.0,0.3463,0.0,28919.78,160,2026-01-12T02:00:00+05:30
ERP-O-000126,2026-01-11,South,Home,282.51,8.14,734527.64,66107.49,2600.0,0.3326,0.0,8079.8,153,2026-01-12T02:00:00+05:30
ERP-O-000127,2026-01-11,East,Apparel,350.15,13.87,507721.95,55849.41,1450.0,0.3836,0.0,5584.94,189,2026-01-12T02:00:00+05:30
ERP-O-000128,2026-01-11,East,Electronics,190.7,4.12,1697220.67,118805.45,8900.0,0.342,0.0,18669.43,103,2026-01-12T02:00:00+05:30
ERP-O-000129,2026-01-11,East,Home,180.88,5.21,470281.06,42325.29,2600.0,0.3347,0.0,5173.09,98,2026-01-12T02:00:00+05:30
ERP-O-000130,2026-01-11,West,Apparel,460.18,18.22,667265.48,73399.2,1450.0,0.3455,0.0,7339.92,249,2026-01-12T02:00:00+05:30
ERP-O-000131,2026-01-11,West,Electronics,273.99,5.92,2438535.64,170697.49,8900.0,0.3289,0.0,26823.89,148,2026-01-12T02:00:00+05:30
ERP-O-000132,2026-01-11,West,Home,223.42,6.43,580890.14,52280.11,2600.0,0.3647,0.0,6389.79,121,2026-01-12T02:00:00+05:30
ERP-O-000133,2026-01-12,North,Apparel,492.61,19.51,714281.41,78570.96,1450.0,0.3366,0.0,7857.1,266,2026-01-13T02:00:00+05:30
ERP-O-000134,2026-01-12,North,Electronics,298.79,6.45,2659201.41,186144.1,8900.0,0.3169,0.0,29251.22,162,2026-01-13T02:00:00+05:30
ERP-O-000135,2026-01-12,North,Home,242.35,6.98,630109.4,56709.85,2600.0,0.3208,0.0,6931.2,131,2026-01-13T02:00:00+05:30
ERP-O-000136,2026-01-12,South,Apparel,404.35,16.01,586312.36,64494.36,1450.0,0.3461,0.0,6449.44,219,2026-01-13T02:00:00+05:30
ERP-O-000137,2026-01-12,South,Electronics,239.77,5.18,2133920.25,149374.42,8900.0,0.3335,0.0,23473.12,130,2026-01-13T02:00:00+05:30
ERP-O-000138,2026-01-12,South,Home,234.27,6.75,609106.85,54819.62,2600.0,0.34,0.0,6700.18,127,2026-01-13T02:00:00+05:30
ERP-O-000139,2026-01-12,East,Apparel,290.63,11.51,421408.53,,1450.0,0.3493,0.0,4635.49,157,2026-01-13T02:00:00+05:30
ERP-O-000140,2026-01-12,East,Electronics,163.26,3.53,1453055.88,101713.91,8900.0,0.3646,0.0,15983.61,88,2026-01-13T02:00:00+05:30
ERP-O-000141,2026-01-12,East,Home,152.73,4.4,397086.09,35737.75,2600.0,0.3192,0.0,4367.95,83,2026-01-13T02:00:00+05:30
ERP-O-000142,2026-01-12,West,Apparel,369.3,14.62,535490.11,58903.91,1450.0,0.3196,0.0,5890.39,200,2026-01-13T02:00:00+05:30
ERP-O-000143,2026-01-12,West,Electronics,234.43,5.06,2086427.14,146049.9,8900.0,0.32,0.0,22950.7,127,2026-01-13T02:00:00+05:30
ERP-O-000144,2026-01-12,West,Home,200.11,5.76,520281.86,,2600.0,0.3452,0.0,5723.1,108,2026-01-13T02:00:00+05:30
ERP-O-000145,2026-01-13,North,Apparel,527.88,20.9,765432.35,84197.56,1450.0,0.3175,0.0,8419.76,285,2026-01-14T02:00:00+05:30
ERP-O-000146,2026-01-13,North,Electronics,290.7,6.28,2587222.23,181105.56,8900.0,0.33,0.0,28459.44,157,2026-01-14T02:00:00+05:30
ERP-O-000147,2026-01-13,North,Home,249.34,7.18,648271.9,58344.47,2600.0,0.3305,0.0,7130.99,135,2026-01-14T02:00:00+05:30
ERP-O-000148,2026-01-13,South,Apparel,406.89,16.11,589996.47,64899.61,1450.0,0.3376,0.0,6489.96,220,2026-01-14T02:00:00+05:30
ERP-O-000149,2026-01-13,South,Electronics,226.23,4.89,2013414.81,140939.04,8900.0,0.3356,0.0,22147.56,122,2026-01-14T02:00:00+05:30
ERP-O-000150,2026-01-13,South,Home,209.91,6.05,545755.76,49118.02,2600.0,0.3074,0.0,6003.31,113,2026-01-14T02:00:00+05:30
ERP-O-000151,2026-01-13,East,Apparel,268.87,10.65,389854.99,42884.05,1450.0,0.3269,0.0,4288.4,145,2026-01-14T02:00:00+05:30
ERP-O-000152,2026-01-13,East,Electronics,170.64,3.69,1518665.66,106306.6,8900.0,0.3803,0.0,16705.32,92,2026-01-14T02:00:00+05:30
ERP-O-000153,2026-01-13,East,Home,151.87,4.37,394868.9,35538.2,2600.0,0.3303,0.0,4343.56,82,2026-01-14T02:00:00+05:30
ERP-O-000154,2026-01-13,West,Apparel,363.45,14.39,526998.13,57969.79,1450.0,0.3478,0.0,5796.98,196,2026-01-14T02:00:00+05:30
ERP-O-000155,2026-01-13,West,Electronics,220.77,4.77,1964883.47,137541.84,8900.0,0.3428,0.0,21613.72,119,2026-01-14T02:00:00+05:30
ERP-O-000156,2026-01-13,West,Home,198.44,5.72,515944.82,46435.03,2600.0,0.3591,0.0,5675.39,107,2026-01-14T02:00:00+05:30
ERP-O-000157,2026-01-14,North,Apparel,480.17,19.01,696247.57,76587.23,1450.0,0.3311,0.0,7658.72,260,2026-01-15T02:00:00+05:30
ERP-O-000158,2026-01-14,North,Electronics,291.15,6.29,2591243.42,181387.04,8900.0,0.3477,0.0,28503.68,157,2026-01-15T02:00:00+05:30
ERP-O-000159,2026-01-14,North,Home,248.61,7.16,646377.47,58173.97,2600.0,0.3143,0.0,7110.15,134,2026-01-15T02:00:00+05:30
ERP-O-000160,2026-01-14,South,Apparel,419.54,16.61,608337.98,66917.18,1450.0,0.3308,0.0,6691.72,227,2026-01-15T02:00:00+05:30
ERP-O-000161,2026-01-14,South,Electronics,228.62,4.94,2034748.06,142432.36,8900.0,0.3505,0.0,22382.23,124,2026-01-15T02:00:00+05:30
ERP-O-000162,2026-01-14,South,Home,233.58,6.73,607316.64,54658.5,2600.0,0.3419,0.0,6680.48,126,2026-01-15T02:00:00+05:30
ERP-O-000163,2026-01-14,East,Apparel,297.3,11.77,431080.41,47418.85,1450.0,0.3505,0.0,4741.88,161,2026-01-15T02:00:00+05:30
ERP-O-000164,2026-01-14,East,Electronics,165.91,3.58,1476569.21,103359.84,8900.0,0.3432,0.0,16242.26,90,2026-01-15T02:00:00+05:30
ERP-O-000165,2026-01-14,East,Home,156.87,4.52,407859.15,36707.32,2600.0,0.3559,0.0,4486.45,85,2026-01-15T02:00:00+05:30
ERP-O-000166,2026-01-14,West,Apparel,387.2,15.33,561441.82,61758.6,1450.0,0.2995,0.0,6175.86,209,2026-01-15T02:00:00+05:30
ERP-O-000167,2026-01-14,West,Electronics,222.3,4.8,1978460.8,,8900.0,0.3513,0.0,21763.07,120,2026-01-15T02:00:00+05:30
ERP-O-000168,2026-01-14,West,Home,187.98,5.41,488755.18,43987.97,2600.0,0.3458,0.0,5376.31,102,2026-01-15T02:00:00+05:30
ERP-O-000169,2026-01-15,North,Apparel,485.9,19.24,704549.48,77500.44,1450.0,0.3679,0.0,7750.04,263,2026-01-16T02:00:00+05:30
ERP-O-000170,2026-01-15,North,Electronics,291.73,6.3,2596385.0,181746.95,8900.0,0.3344,0.0,28560.24,158,2026-01-16T02:00:00+05:30
ERP-O-000171,2026-01-15,North,Home,257.1,7.4,668457.43,60161.17,2600.0,0.3614,0.0,7353.03,139,2026-01-16T02:00:00+05:30
ERP-O-000172,2026-01-15,South,Apparel,424.87,16.82,616059.64,67766.56,1450.0,0.3339,0.0,6776.66,230,2026-01-16T02:00:00+05:30
ERP-O-000173,2026-01-15,South,Electronics,229.35,4.95,2041250.15,142887.51,8900.0,0.35,0.0,22453.75,124,2026-01-16T02:00:00+05:30
ERP-O-000174,2026-01-15,South,Home,232.9,6.71,605535.4,54498.19,2600.0,0.365,0.0,6660.89,126,2026-01-16T02:00:00+05:30
ERP-O-000175,2026-01-15,East,Apparel,298.38,11.82,432651.11,47591.62,1450.0,0.4019,0.0,4759.16,161,2026-01-16T02:00:00+05:30
ERP-O-000176,2026-01-15,East,Electronics,164.58,3.56,1464801.92,102536.13,8900.0,0.344,0.0,16112.82,89,2026-01-16T02:00:00+05:30
