event_id,ts_raw,warehouse,region,promised_hours,actual_hours,employee_id,shift_id,staff_productivity_score
OPS-D-0000032,2026-01-01T07:51:00+05:30,WH-N2,North,24.0,11.58,EMP-1176,SH-3,0.691
OPS-D-0000033,2026-01-01T08:40:00+05:30,WH-N2,North,24.0,15.11,EMP-1050,SH-3,0.829
OPS-D-0000034,2026-01-01T09:50:00+05:30,WH-N2,North,24.0,19.81,EMP-1392,SH-1,0.695
OPS-D-0000035,2026-01-01T10:37:00+05:30,WH-N2,North,24.0,12.81,EMP-1251,SH-2,0.715
OPS-D-0000036,2026-01-01 11:57:00,WH-N2,North,24.0,81.52,EMP-1357,SH-3,0.829
OPS-D-0000037,2026-01-01 12:26:00,WH-N2,North,24.0,58.37,EMP-1085,SH-2,0.917
OPS-D-0000038,2026-01-01 13:05:00,WH-N2,North,24.0,16.65,EMP-1076,SH-1,0.887
OPS-D-0000039,2026-01-01T14:05:00+05:30,WH-N2,North,24.0,17.13,EMP-1240,SH-3,0.816
OPS-D-0000040,2026-01-01 15:57:00,WH-N2,North,24.0,16.82,EMP-1015,SH-3,0.762
OPS-D-0000041,2026-01-01 16:10:00,WH-N2,North,24.0,,EMP-1324,SH-2,0.889
OPS-D-0000042,1767267300000,WH-N2,North,24.0,18.15,EMP-1300,SH-1,0.874
OPS-D-0000043,1767272400000,WH-N2,North,24.0,13.67,EMP-1066,SH-1,0.761
OPS-D-0000044,2026-01-01 19:06:00,WH-N2,North,24.0,12.91,EMP-1330,SH-1,0.726
OPS-D-0000045,1767280020000,WH-N2,North,24.0,,EMP-1131,SH-1,0.873
OPS-D-0000046,2026-01-01T21:42:00+05:30,WH-N2,North,24.0,21.99,EMP-1339,SH-2,0.734
OPS-D-0000047,2026-01-01T22:21:00+05:30,WH-N2,North,24.0,20.59,EMP-1277,SH-3,0.864
OPS-D-0000048,2026-01-01 23:57:00,WH-N2,North,24.0,19.61,EMP-1110,SH-1,0.939
OPS-D-0000049,2026-01-01 00:51:00,WH-S1,South,24.0,19.91,EMP-1094,SH-2,0.876
OPS-D-0000050,2026-01-01T01:30:00+05:30,WH-S1,South,24.0,22.42,EMP-1091,SH-3,0.781
OPS-D-0000051,2026-01-01T02:30:00+05:30,WH-S1,South,24.0,23.33,EMP-1008,SH-3,0.717
OPS-D-0000052,2026-01-01 03:44:00,WH-S1,South,24.0,10.92,EMP-1182,SH-2,0.748
OPS-D-0000053,2026-01-01T04:33:00+05:30,WH-S1,South,24.0,23.31,EMP-1280,SH-3,0.751
OPS-D-0000054,1767226800000,WH-S1,South,24.0,10.06,EMP-1162,SH-2,0.887
OPS-D-0000055,2026-01-01T06:52:00+05:30,WH-S1,South,24.0,21.13,EMP-1137,SH-3,0.757
OPS-D-0000056,2026-01-01T07:30:00+05:30,WH-S1,South,24.0,22.63,EMP-1385,SH-3,0.772
OPS-D-0000057,2026-01-01 08:14:00,WH-S1,South,24.0,19.43,EMP-1320,SH-1,0.65
OPS-D-0000058,2026-01-01T09:45:00+05:30,WH-S1,South,24.0,19.19,EMP-1277,SH-3,0.89
OPS-D-0000059,2026-01-01T10:33:00+05:30,WH-S1,South,24.0,14.49,EMP-1190,SH-2,0.91
OPS-D-0000060,2026-01-01 11:52:00,WH-S1,South,24.0,10.02,EMP-1222,SH-3,0.802
OPS-D-0000061,1767250440000,WH-S1,South,24.0,8.74,EMP-1045,SH-3,0.733
OPS-D-0000062,1767254400000,WH-S1,South,24.0,12.01,EMP-1045,SH-2,0.674
OPS-D-0000063,2026-01-01T14:10:00+05:30,WH-S1,South,24.0,9.7,EMP-1268,SH-1,0.815
OPS-D-0000064,1767261120000,WH-S1,South,24.0,23.33,EMP-1093,SH-2,0.802
OPS-D-0000065,1767263580000,WH-S1,South,24.0,22.33,EMP-1175,SH-1,0.783
OPS-D-0000066,2026-01-01T17:52:00+05:30,WH-S1,South,24.0,15.14,EMP-1176,SH-2,0.913
OPS-D-0000067,2026-01-01 18:38:00,WH-S1,South,24.0,15.43,EMP-1033,SH-2,0.784
OPS-D-0000068,2026-01-01T19:19:00+05:30,WH-S1,South,24.0,20.76,EMP-1087,SH-2,0.777
OPS-D-0000069,2026-01-01T20:54:00+05:30,WH-S1,South,24.0,19.61,EMP-1391,SH-3,0.785
OPS-D-0000070,2026-01-01 21:47:00,WH-S1,South,24.0,16.69,EMP-1145,SH-2,0.66
OPS-D-0000071,1767285720000,WH-S1,South,24.0,19.92,EMP-1171,SH-2,0.804
OPS-D-0000072,2026-01-01T23:37:00+05:30,WH-S1,South,24.0,10.3,EMP-1306,SH-2,0.712
OPS-D-0000073,2026-01-01 00:45:00,WH-E1,East,24.0,20.04,EMP-1323,SH-1,0.763
OPS-D-0000074,2026-01-01T01:13:00+05:30,WH-E1,East,24.0,22.43,EMP-1080,SH-1,0.822
OPS-D-0000075,2026-01-01T02:46:00+05:30,WH-E1,East,24.0,15.8,EMP-1341,SH-3,0.808
OPS-D-0000076,2026-01-01 03:47:00,WH-E1,East,24.0,10.15,EMP-1374,SH-2,0.796
OPS-D-0000077,2026-01-01 04:35:00,WH-E1,East,24.0,10.1,EMP-1096,SH-1,0.773
OPS-D-0000078,2026-01-01T05:32:00+05:30,WH-E1,East,24.0,18.85,EMP-1210,SH-2,0.638
OPS-D-0000079,2026-01-01T06:54:00+05:30,WH-E1,East,24.0,19.63,EMP-1152,SH-1,0.848
OPS-D-0000080,2026-01-01 07:21:00,WH-E1,East,24.0,19.98,EMP-1319,SH-3,0.847
OPS-D-0000081,1767237420000,WH-E1,East,24.0,9.35,EMP-1318,SH-3,0.722
OPS-D-0000082,2026-01-01 09:13:00,WH-E1,East,24.0,23.28,EMP-1231,SH-1,0.752
OPS-D-0000083,2026-01-01T10:37:00+05:30,WH-E1,East,24.0,22.88,EMP-1336,SH-2,0.638
OPS-D-0000084,2026-01-01T11:53:00+05:30,WH-E1,East,24.0,,EMP-1207,SH-1,0.606
OPS-D-0000085,1767249000000,WH-E1,East,24.0,11.39,EMP-1171,SH-2,0.724
OPS-D-0000086,1767253560000,WH-E1,East,24.0,15.43,EMP-1292,SH-2,0.74
OPS-D-0000087,2026-01-01 14:17:00,WH-E1,East,24.0,21.34,EMP-1280,SH-3,0.697
OPS-D-0000088,2026-01-01 15:09:00,WH-E1,East,24.0,20.18,EMP-1217,SH-2,0.776
OPS-D-0000089,2026-01-01T16:23:00+05:30,WH-E1,East,24.0,14.33,EMP-1311,SH-1,0.799
OPS-D-0000090,2026-01-01T17:24:00+05:30,WH-E1,East,24.0,16.68,EMP-1261,SH-3,0.815
OPS-D-0000091,2026-01-01T18:11:00+05:30,WH-E1,East,24.0,19.88,EMP-1375,SH-2,0.735
OPS-D-0000092,2026-01-01T19:36:00+05:30,WH-E1,East,24.0,23.32,EMP-1263,SH-2,0.695
OPS-D-0000093,2026-01-01T20:04:00+05:30,WH-E1,East,24.0,19.51,EMP-1158,SH-1,0.832
OPS-D-0000094,2026-01-01T21:48:00+05:30,WH-E1,East,24.0,15.82,EMP-1303,SH-3,0.781
OPS-D-0000095,2026-01-01T22:37:00+05:30,WH-E1,East,24.0,19.66,EMP-1281,SH-2,0.925
OPS-D-0000096,1767289620000,WH-E1,East,24.0,17.35,EMP-1041,SH-1,0.873
OPS-D-0000097,1767207120000,WH-W1,West,24.0,11.93,EMP-1249,SH-2,0.734
OPS-D-0000098,2026-01-01T01:17:00+05:30,WH-W1,West,24.0,26.28,EMP-1057,SH-1,0.656
OPS-D-0000099,2026-01-01T02:57:00+05:30,WH-W1,West,24.0,8.78,EMP-1238,SH-3,0.735
OPS-D-0000100,1767219840000,WH-W1,West,24.0,22.34,EMP-1024,SH-2,0.792
OPS-D-0000101,2026-01-01T04:29:00+05:30,WH-W1,West,24.0,19.25,EMP-1142,SH-3,0.716
OPS-D-0000102,2026-01-01T05:24:00+05:30,WH-W1,West,24.0,13.63,EMP-1377,SH-2,0.727
OPS-D-0000103,2026-01-01T06:40:00+05:30,WH-W1,West,24.0,12.48,EMP-1163,SH-2,0.759
OPS-D-0000104,1767231120000,WH-W1,West,24.0,17.82,EMP-1173,SH-3,0.887
OPS-D-0000105,2026-01-01 08:40:00,WH-W1,West,24.0,9.87,EMP-1269,SH-2,0.915
OPS-D-0000106,2026-01-01 09:49:00,WH-W1,West,24.0,17.23,EMP-1076,SH-2,0.764
OPS-D-0000107,1767242760000,WH-W1,West,24.0,8.74,EMP-1260,SH-1,0.752
OPS-D-0000108,2026-01-01 11:36:00,WH-W1,West,24.0,13.79,EMP-1398,SH-1,0.641
OPS-D-0000109,2026-01-01 12:52:00,WH-W1,West,24.0,14.11,EMP-1377,SH-3,0.881
OPS-D-0000110,1767254340000,WH-W1,West,24.0,13.47,EMP-1123,SH-2,0.81
OPS-D-0000111,2026-01-01T14:17:00+05:30,WH-W1,West,24.0,10.87,EMP-1184,SH-3,0.658
OPS-D-0000112,2026-01-01 15:46:00,WH-W1,West,24.0,17.07,EMP-1238,SH-1,0.656
OPS-D-0000113,2026-01-01T16:19:00+05:30,WH-W1,West,24.0,15.03,EMP-1297,SH-1,0.727
OPS-D-0000114,2026-01-01T17:07:00+05:30,WH-W1,West,24.0,21.1,EMP-1255,SH-1,0.835
OPS-D-0000115,2026-01-01T18:58:00+05:30,WH-W1,West,24.0,74.29,EMP-1398,SH-1,0.77
OPS-D-0000116,2026-01-01T19:59:00+05:30,WH-W1,West,24.0,20.84,EMP-1169,SH-1,0.73
OPS-D-0000117,2026-01-01 20:23:00,WH-W1,West,24.0,17.26,EMP-1147,SH-2,0.832
OPS-D-0000118,2026-01-01 21:21:00,WH-W1,West,24.0,19.62,EMP-1000,SH-3,0.861
OPS-D-0000119,2026-01-01 22:01:00,WH-W1,West,24.0,17.08,EMP-1382,SH-1,0.644
OPS-D-0000120,2026-01-01T23:10:00+05:30,WH-W1,West,24.0,9.71,EMP-1123,SH-2,0.815
OPS-D-0000121,2026-01-02T00:55:00+05:30,WH-N1,North,24.0,11.6,EMP-1007,SH-2,0.691
OPS-D-0000122,2026-01-02T01:41:00+05:30,WH-N1,North,24.0,21.17,EMP-1282,SH-2,0.974
OPS-D-0000123,2026-01-02 02:14:00,WH-N1,North,24.0,65.02,EMP-1325,SH-2,0.674
OPS-D-0000124,2026-01-02T03:28:00+05:30,WH-N1,North,24.0,12.92,EMP-1004,SH-1,0.785
OPS-D-0000125,2026-01-02T04:29:00+05:30,WH-N1,North,24.0,66.54,EMP-1122,SH-1,0.854
OPS-D-0000126,2026-01-02T05:48:00+05:30,WH-N1,North,24.0,21.97,EMP-1153,SH-2,0.717
OPS-D-0000127,2026-01-02T06:24:00+05:30,WH-N1,North,24.0,16.94,EMP-1242,SH-2,0.711
OPS-D-0000128,1767319620000,WH-N1,North,24.0,20.77,EMP-1225,SH-1,0.772
OPS-D-0000129,1767324480000,WH-N1,North,24.0,18.95,EMP-1025,SH-2,0.725
OPS-D-0000130,2026-01-02T09:42:00+05:30,WH-N1,North,24.0,18.51,EMP-1391,SH-2,0.637
OPS-D-0000131,2026-01-02T10:32:00+05:30,WH-N1,North,24.0,18.15,EMP-1363,SH-3,0.706
OPS-D-0000132,2026-01-02T11:29:00+05:30,WH-N1,North,24.0,17.68,EMP-1353,SH-2,0.725
OPS-D-0000133,2026-01-02T12:31:00+05:30,WH-N1,North,24.0,12.4,EMP-1067,SH-2,0.615
OPS-D-0000134,2026-01-02T13:34:00+05:30,WH-N1,North,24.0,17.01,EMP-1089,SH-3,0.617
OPS-D-0000135,1767345420000,WH-N1,North,24.0,11.79,EMP-1045,SH-1,0.781
OPS-D-0000136,2026-01-02T15:24:00+05:30,WH-N1,North,24.0,17.62,EMP-1347,SH-1,0.859
OPS-D-0000137,1767351180000,WH-N1,North,24.0,17.94,EMP-1128,SH-1,0.842
OPS-D-0000138,2026-01-02 17:55:00,WH-N1,North,24.0,9.6,EMP-1396,SH-2,0.805
OPS-D-0000139,2026-01-02 18:12:00,WH-N1,North,24.0,,EMP-1324,SH-3,0.853
OPS-D-0000140,2026-01-02T19:56:00+05:30,WH-N1,North,24.0,16.21,EMP-1149,SH-2,0.862
OPS-D-0000141,2026-01-02 20:12:00,WH-N1,North,24.0,11.15,EMP-1303,SH-2,0.709
OPS-D-0000142,2026-01-02 21:33:00,WH-N1,North,24.0,23.07,EMP-1017,SH-3,0.85
OPS-D-0000143,1767373260000,WH-N1,North,24.0,23.4,EMP-1272,SH-2,0.803
OPS-D-0000144,1767376500000,WH-N1,North,24.0,17.41,EMP-1245,SH-2,0.753
OPS-D-0000145,2026-01-02T00:20:00+05:30,WH-N2,North,24.0,63.5,EMP-1304,SH-3,0.761
OPS-D-0000146,2026-01-02T01:16:00+05:30,WH-N2,North,24.0,13.92,EMP-1358,SH-1,0.753
OPS-D-0000147,2026-01-02 02:28:00,WH-N2,North,24.0,8.5,EMP-1182,SH-2,0.709
OPS-D-0000148,2026-01-02T03:57:00+05:30,WH-N2,North,24.0,15.67,EMP-1068,SH-2,0.76
OPS-D-0000149,2026-01-02T04:03:00+05:30,WH-N2,North,24.0,16.41,EMP-1120,SH-2,0.935
OPS-D-0000150,2026-01-02 05:41:00,WH-N2,North,24.0,14.39,EMP-1352,SH-2,0.581
OPS-D-0000151,2026-01-02T06:35:00+05:30,WH-N2,North,24.0,14.82,EMP-1120,SH-2,0.925
OPS-D-0000152,2026-01-02T07:41:00+05:30,WH-N2,North,24.0,22.24,EMP-1392,SH-2,0.854
OPS-D-0000153,2026-01-02T08:22:00+05:30,WH-N2,North,24.0,20.19,EMP-1265,SH-3,0.716
OPS-D-0000154,2026-01-02T09:24:00+05:30,WH-N2,North,24.0,12.39,EMP-1351,SH-1,0.814
OPS-D-0000155,1767331380000,WH-N2,North,24.0,12.28,EMP-1056,SH-2,0.688
OPS-D-0000156,2026-01-02T11:33:00+05:30,WH-N2,North,24.0,,EMP-1385,SH-3,0.679
OPS-D-0000157,2026-01-02T12:30:00+05:30,WH-N2,North,24.0,10.61,EMP-1313,SH-3,0.744
OPS-D-0000158,2026-01-02T13:21:00+05:30,WH-N2,North,24.0,10.87,EMP-1085,SH-1,0.755
OPS-D-0000159,2026-01-02T14:39:00+05:30,WH-N2,North,24.0,12.35,EMP-1019,SH-2,0.717
OPS-D-0000160,2026-01-02T15:26:00+05:30,WH-N2,North,24.0,8.78,EMP-1149,SH-1,0.711
OPS-D-0000161,2026-01-02T16:17:00+05:30,WH-N2,North,24.0,21.62,EMP-1304,SH-1,0.871
OPS-D-0000162,1767353880000,WH-N2,North,24.0,23.15,EMP-1317,SH-2,0.905
OPS-D-0000163,2026-01-02T18:51:00+05:30,WH-N2,North,24.0,22.61,EMP-1139,SH-2,0.725
OPS-D-0000164,2026-01-02T19:46:00+05:30,WH-N2,North,24.0,11.68,EMP-1170,SH-3,0.739
OPS-D-0000165,2026-01-02T20:17:00+05:30,WH-N2,North,24.0,16.78,EMP-1081,SH-3,0.828
OPS-D-0000166,2026-01-02 21:08:00,WH-N2,North,24.0,16.92,EMP-1147,SH-2,0.89
OPS-D-0000167,2026-01-02 22:10:00,WH-N2,North,24.0,11.68,EMP-1338,SH-1,0.782
OPS-D-0000168,2026-01-02T23:40:00+05:30,WH-N2,North,24.0,9.08,EMP-1288,SH-2,0.766
OPS-D-0000169,2026-01-02 00:51:00,WH-S1,South,24.0,22.08,EMP-1213,SH-1,0.77
OPS-D-0000170,2026-01-02T01:57:00+05:30,WH-S1,South,24.0,14.84,EMP-1228,SH-3,0.782
OPS-D-0000171,2026-01-02T02:22:00+05:30,WH-S1,South,24.0,22.36,EMP-1122,SH-3,0.732
OPS-D-0000172,2026-01-02T03:25:00+05:30,WH-S1,South,24.0,,EMP-1038,SH-2,0.739
OPS-D-0000173,2026-01-02T04:49:00+05:30,WH-S1,South,24.0,17.23,EMP-1163,SH-3,0.754
OPS-D-0000174,2026-01-02T05:20:00+05:30,WH-S1,South,24.0,15.75,EMP-1194,SH-2,0.799
OPS-D-0000175,2026-01-02T06:22:00+05:30,WH-S1,South,24.0,11.77,EMP-1209,SH-3,0.813
OPS-D-0000176,2026-01-02 07:58:00,WH-S1,South,24.0,9.77,EMP-1197,SH-3,0.761
OPS-D-0000177,2026-01-02 08:56:00,WH-S1,South,24.0,79.63,EMP-1053,SH-1,0.742
OPS-D-0000178,2026-01-02T09:44:00+05:30,WH-S1,South,24.0,,EMP-1377,SH-1,0.598
OPS-D-0000179,2026-01-02T10:39:00+05:30,WH-S1,South,24.0,48.62,EMP-1276,SH-2,0.679
OPS-D-0000180,2026-01-02T11:29:00+05:30,WH-S1,South,24.0,17.34,EMP-1162,SH-2,0.625
OPS-D-0000181,2026-01-02T12:53:00+05:30,WH-S1,South,24.0,17.31,EMP-1300,SH-3,0.688
OPS-D-0000182,2026-01-02T13:31:00+05:30,WH-S1,South,24.0,10.15,EMP-1261,SH-3,0.766
OPS-D-0000183,2026-01-02T14:27:00+05:30,WH-S1,South,24.0,15.54,EMP-1206,SH-3,0.911
OPS-D-0000184,2026-01-02 15:06:00,WH-S1,South,24.0,12.3,EMP-1388,SH-3,0.664
OPS-D-0000185,2026-01-02 16:27:00,WH-S1,South,24.0,19.57,EMP-1052,SH-3,0.703
OPS-D-0000186,2026-01-02 17:24:00,WH-S1,South,24.0,17.89,EMP-1345,SH-2,0.735
OPS-D-0000187,2026-01-02T18:28:00+05:30,WH-S1,South,24.0,16.75,EMP-1277,SH-1,0.87
OPS-D-0000188,2026-01-02T19:26:00+05:30,WH-S1,South,24.0,62.72,EMP-1379,SH-1,0.794
OPS-D-0000189,2026-01-02T20:08:00+05:30,WH-S1,South,24.0,18.65,EMP-1294,SH-3,0.837
OPS-D-0000190,2026-01-02T21:37:00+05:30,WH-S1,South,24.0,23.15,EMP-1145,SH-3,0.837
OPS-D-0000191,2026-01-02T22:28:00+05:30,WH-S1,South,24.0,19.86,EMP-1264,SH-1,0.782
OPS-D-0000192,2026-01-02T23:26:00+05:30,WH-S1,South,24.0,16.03,EMP-1096,SH-1,0.85
OPS-D-0000193,1767294480000,WH-E1,East,24.0,16.38,EMP-1236,SH-2,0.93
OPS-D-0000194,2026-01-02T01:56:00+05:30,WH-E1,East,24.0,,EMP-1125,SH-3,0.764
OPS-D-0000195,2026-01-02 02:36:00,WH-E1,East,24.0,58.39,EMP-1140,SH-2,0.827
OPS-D-0000196,2026-01-02T03:14:00+05:30,WH-E1,East,24.0,15.48,EMP-1077,SH-3,0.734
OPS-D-0000197,2026-01-02T04:51:00+05:30,WH-E1,East,24.0,11.91,EMP-1308,SH-3,0.972
OPS-D-0000198,1767312420000,WH-E1,East,24.0,13.95,EMP-1346,SH-1,0.721
OPS-D-0000199,1767315900000,WH-E1,East,24.0,10.85,EMP-1333,SH-3,0.814
OPS-D-0000200,2026-01-02T07:59:00+05:30,WH-E1,East,24.0,,EMP-1019,SH-3,0.74
OPS-D-0000201,2026-01-02T08:44:00+05:30,WH-E1,East,24.0,20.36,EMP-1069,SH-1,0.813
OPS-D-0000202,2026-01-02T09:52:00+05:30,WH-E1,East,24.0,10.95,EMP-1317,SH-2,0.71
OPS-D-0000203,2026-01-02 10:15:00,WH-E1,East,24.0,14.3,EMP-1399,SH-2,0.681
OPS-D-0000204,2026-01-02T11:07:00+05:30,WH-E1,East,24.0,14.25,EMP-1013,SH-3,0.784
OPS-D-0000205,1767336360000,WH-E1,East,24.0,14.07,EMP-1033,SH-1,0.705
OPS-D-0000206,2026-01-02 13:24:00,WH-E1,East,24.0,22.55,EMP-1280,SH-1,0.753
OPS-D-0000207,2026-01-02 14:13:00,WH-E1,East,24.0,14.94,EMP-1234,SH-2,0.699
OPS-D-0000208,2026-01-02T15:22:00+05:30,WH-E1,East,24.0,13.6,EMP-1205,SH-1,0.9
OPS-D-0000209,2026-01-02T16:06:00+05:30,WH-E1,East,24.0,22.61,EMP-1155,SH-3,0.815
OPS-D-0000210,2026-01-02 17:28:00,WH-E1,East,24.0,16.86,EMP-1169,SH-2,0.794
OPS-D-0000211,2026-01-02T18:36:00+05:30,WH-E1,East,24.0,20.43,EMP-1345,SH-2,0.744
OPS-D-0000212,1767362400000,WH-E1,East,24.0,12.85,EMP-1141,SH-3,0.888
OPS-D-0000213,2026-01-02T20:39:00+05:30,WH-E1,East,24.0,20.48,EMP-1331,SH-2,0.87
OPS-D-0000214,2026-01-02T21:31:00+05:30,WH-E1,East,24.0,14.09,EMP-1217,SH-2,0.827
OPS-D-0000215,2026-01-02T22:04:00+05:30,WH-E1,East,24.0,22.51,EMP-1097,SH-3,0.846
OPS-D-0000216,2026-01-02T23:24:00+05:30,WH-E1,East,24.0,15.94,EMP-1350,SH-1,0.914
OPS-D-0000217,2026-01-02T00:18:00+05:30,WH-W1,West,24.0,16.45,EMP-1370,SH-1,0.786
OPS-D-0000218,1767296160000,WH-W1,West,24.0,12.15,EMP-1258,SH-3,0.712
OPS-D-0000219,2026-01-02 02:17:00,WH-W1,West,24.0,15.22,EMP-1132,SH-3,0.642
OPS-D-0000220,1767304440000,WH-W1,West,24.0,13.43,EMP-1362,SH-1,0.804
OPS-D-0000221,2026-01-02T04:05:00+05:30,WH-W1,West,24.0,10.16,EMP-1236,SH-3,0.601
OPS-D-0000222,2026-01-02 05:56:00,WH-W1,West,24.0,22.77,EMP-1303,SH-1,0.6
OPS-D-0000223,2026-01-02T06:59:00+05:30,WH-W1,West,24.0,17.83,EMP-1099,SH-2,0.741
OPS-D-0000224,2026-01-02T07:53:00+05:30,WH-W1,West,24.0,18.76,EMP-1321,SH-2,0.709
OPS-D-0000225,1767324300000,WH-W1,West,24.0,9.7,EMP-1258,SH-3,0.851
OPS-D-0000226,2026-01-02T09:50:00+05:30,WH-W1,West,24.0,17.64,EMP-1131,SH-1,0.933
OPS-D-0000227,2026-01-02T10:22:00+05:30,WH-W1,West,24.0,10.58,EMP-1196,SH-3,0.742
OPS-D-0000228,1767333720000,WH-W1,West,24.0,21.67,EMP-1326,SH-2,0.683
OPS-D-0000229,2026-01-02T12:01:00+05:30,WH-W1,West,24.0,12.83,EMP-1280,SH-2,0.72
OPS-D-0000230,2026-01-02T13:45:00+05:30,WH-W1,West,24.0,8.72,EMP-1350,SH-2,0.765
OPS-D-0000231,2026-01-02 14:20:00,WH-W1,West,24.0,22.19,EMP-1382,SH-1,0.805
OPS-D-0000232,1767347220000,WH-W1,West,24.0,28.14,EMP-1179,SH-2,0.777
OPS-D-0000233,2026-01-02T16:03:00+05:30,WH-W1,West,24.0,15.98,EMP-1144,SH-3,0.81
OPS-D-0000234,2026-01-02 17:10:00,WH-W1,West,24.0,12.84,EMP-1042,SH-3,0.705
OPS-D-0000235,2026-01-02 18:43:00,WH-W1,West,24.0,19.64,EMP-1314,SH-3,0.755
OPS-D-0000236,1767362520000,WH-W1,West,24.0,18.2,EMP-1013,SH-3,0.762
OPS-D-0000237,2026-01-02T20:39:00+05:30,WH-W1,West,24.0,11.34,EMP-1214,SH-2,0.739
OPS-D-0000238,1767369060000,WH-W1,West,24.0,8.92,EMP-1107,SH-3,0.936
OPS-D-0000239,2026-01-02 22:21:00,WH-W1,West,24.0,23.18,EMP-1394,SH-1,0.764
OPS-D-0000240,1767376560000,WH-W1,West,24.0,22.96,EMP-1183,SH-1,0.8
OPS-D-0000241,2026-01-03T00:01:00+05:30,WH-N1,North,24.0,9.34,EMP-1152,SH-3,0.816
OPS-D-0000242,2026-01-03T01:32:00+05:30,WH-N1,North,24.0,20.08,EMP-1015,SH-3,0.715
OPS-D-0000243,2026-01-03 02:45:00,WH-N1,North,24.0,16.97,EMP-1326,SH-1,0.771
OPS-D-0000244,2026-01-03T03:13:00+05:30,WH-N1,North,24.0,15.07,EMP-1206,SH-3,0.692
OPS-D-0000245,2026-01-03T04:56:00+05:30,WH-N1,North,24.0,16.68,EMP-1078,SH-3,0.72
OPS-D-0000246,1767396720000,WH-N1,North,24.0,17.24,EMP-1146,SH-1,0.894
OPS-D-0000247,2026-01-03T06:33:00+05:30,WH-N1,North,24.0,20.43,EMP-1344,SH-2,0.825
OPS-D-0000248,2026-01-03T07:43:00+05:30,WH-N1,North,24.0,8.58,EMP-1197,SH-2,0.784
